,party,sentence,sentence_coal,score
766,fdp,aufklärungs- und beratungsangebote wollen wir stärken.,"dabei fokussieren wir auf verbesserung der betreuungsrelation, sprachförderung und ein bedarfsgerechtes ganztagsangebot.",0.75858945
767,fdp,"eine solche edu soll die verbleibenden grenzen der bildungsmobilität überwinden und menschen unabhängig von ihrer persönlichen lebenssituation, ihrer sozialen und geographischen lage die teilnahme an weltbester lehre und akademischer weiterbildung ermöglichen.",wir erhöhen die ausbildungsmobilität.,0.75855464
768,fdp,"für uns freie demokraten steht fest, dass länder, die die grundwerte der eu mit füßen treten, nicht mit vollen händen aus eu-geldern schöpfen sollen.",die eu und deutschland dürfen nicht erpressbar sein.,0.7585242
769,fdp,so kann neben akzeptanz auch rechtssicherheit für einmal bewilligte projekte sichergestellt werden.,dies werden wir gesetzlich festschreiben und für solche projekte unter gewissen voraussetzungen eine regelvermutung für das vorliegen der ausnahmevoraussetzungen des bundesnaturschutzgesetzes schaffen.,0.7584714
770,fdp,die anstrengungen müssen gebündelt und unter einbeziehung neuester forschungsergebnisse verstärkt werden.,"forschungsbedarfe müssen ressortübergreifend, schneller und wirksamer adressiert werden.",0.7584539
771,fdp,dadurch wird der steuertarif für alle steuerzahlerinnen und steuerzahler zusätzlich gestreckt.,die zulagen und die bestehende steuerliche förderung werden verrechnet.,0.75843346
772,fdp,wir wollen die medien- und meinungsvielfalt stärken.,gemeinsam mit den ländern befördern wir eine breite gesellschaftliche debatte über den wert freier medien für die demokratie.,0.75841296
773,fdp,auch international wollen wir den justizstandort deutschland stärken.,"wir werden die umsetzung eines deutschlandtaktes infrastrukturell, finanziell, organisatorisch, eisenbahnrechtlich und europarechtskonform absichern.",0.758292
774,fdp,entsprechende angebote wollen wir fördern.,förderleistungen wollen wir leichter zugänglich machen.,0.7581773
775,fdp,zudem wollen wir bessere voraussetzungen für die vereinbarung von weiterbildung und familie schaffen.,regenbogenfamilien werden wir in der familienpolitik stärker verankern.,0.75814366
776,fdp,"ein steigender co2-preis wird fossile energie weiter unattraktiv machen und dazu führen, dass der zubau erneuerbarer energien stärker nachfragegetrieben erfolgt.",wir betrachten energiepreise und co2-preise zusammen.,0.7581394
777,fdp,"es soll die prinzipien weltoffenheit, toleranz und eigenverantwortung als grundlage der integration betonen und aus der geschichte der bundesrepublik deutschland heraus verstehbar machen.","freiheit und sicherheit, gleichstellung und vielfalt in der modernen demokratie freiheit, sicherheit und rechtsstaatlichkeit sind die grundlagen für das friedliche zusammenleben in deutschland.",0.75813156
778,fdp,"wir unterstützen deshalb die pläne zur schaffung eines digital markets act auf ebene der europäischen union, mit dem eine das kartellrecht ergänzende europäische regulierung für gatekeeper-unternehmen geschaffen werden soll.","das europäische finanzmarktaufsichtsrecht machen wir fit für die digitalisierung und für komplexe konzernstrukturen, um eine ganzheitliche und risikoadäquate aufsicht über neue geschäftsmodelle sicherzustellen.",0.7580977
779,fdp,zudem müssen die in der kopenhagener erklärung vereinbarten ziele wie die anerkennung von qualifikationen innerhalb der eu konsequent umgesetzt werden.,wir unterstützen den eu-beitrittsprozess der sechs staaten der westbalkanregion und die hierfür notwendigen reformen zur erfüllung aller kopenhagener kriterien.,0.75806993
780,fdp,gemeinsam mit den europäischen partnern sollen die schadstoffe zeitnah geborgen beziehungsweise unschädlich gemacht werden.,für die wiederverwendung von abwasser streben wir die rasche umsetzung der europäischen vorgaben und eine sichere und rechtsichere ausgestaltung an.,0.75804764
781,fdp,illegaler handel mit kulturgut muss wirksam bekämpft werden.,den kampf gegen die wilderei wollen wir intensivieren und den illegalen handel mit geschützten arten auch im online-handel unterbinden sowie den vollzug durch eine task-force stärken.,0.7579857
782,fdp,alternative kraftstoffe – klimaschutz durch innovation wir freie demokraten wollen mehr alternative kraftstoffe.,wir werden landstrom und alternative antriebe und kraftstoffe fördern.,0.7578355
783,fdp,dazu wollen deutschland: glasfaser- entwicklungs- land.,b. von deutschland und frankreich bereits geplant.,0.7577821
784,fdp,deshalb wollen wir die afrikanische union bei der realisierung der kontinentalen freihandelszone (afcfta) aktiv unterstützen.,"wir wollen uns dafür einsetzen, dass die afrikanische freihandelszone zum aufbau nachhaltiger wertschöpfungsketten beiträgt.",0.7577217
785,fdp,hierbei werden flexible regelungen in einem tarifvertrag oder in einer betriebsvereinbarung rechtssicher ermöglicht.,"im rahmen einer im jahre 2022 zu treffenden, befristeten regelung mit evaluationsklausel werden wir es ermöglichen, dass im rahmen von tarifverträgen arbeitnehmerinnen und arbeitnehmer unter bestimmten voraussetzungen und in einzuhaltenden fristen ihre arbeitszeit flexibler gestalten können.",0.7576788
786,fdp,zudem fördern wir die altersgerechte vermittlung von fremdsprachen im kindesalter durch entsprechende pädagogische konzepte.,die kindertagespflege wollen wir als angebot der kindertagesbetreuung weiterentwickeln und fördern und das programm „sprach-kitas“ weiterentwickeln und verstetigen.,0.7576557
787,fdp,viele eltern möchten die kinder auch nach der trennung gemeinsam erziehen.,wir wollen allen familien eine am kindeswohl orientierte partnerschaftliche betreuung minderjähriger kinder auch nach trennung und scheidung der eltern ermöglichen und die dafür erforderlichen bedingungen schaffen.,0.75758076
788,fdp,die berufliche ausbildung selbst wollen wir durchlässiger gestalten.,mit dem lebenschancen-bafög schaffen wir ein neues instrument für die selbstbestimmte weiterbildung auch jenseits berufs- und abschlussbezogener qualifikation für alle.,0.75753987
789,fdp,"kontrolle der nachrichtendienste genehmigungen und gesetzmäßigkeitskontrolle durch richterliche unabhängigkeit unabhängiger parlamentarischer nachrichtendienstbeauftragter parlamentarische kontrolle und parlamentsminderheitenrechte stärken das programm der freien demokraten zur bundestagswahl 2021 38 führt haben, müssen aufgeklärt werden.",transparenz und effektive kontrolle durch aufsichtsbehörden und parlament werden wir sicherstellen.,0.7575173
790,fdp,"der staat steht hier in der pflicht, entschieden zu handeln – und persönlichkeitsrechte sowie die freie meinungsäußerung effektiv zu schützen.",die eingriffe des staates in die bürgerlichen freiheitsrechte müssen stets gut begründet und in ihrer gesamtwirkung betrachtet werden.,0.757392
791,fdp,"nutzen wir die schubkraft der freiheit, der sozialen marktwirtschaft und der modernisierung für die bewältigung der großen herausforderungen unserer zeit: mehr europa für mehr freiheit und menschenrechte weltweit.","soziales europa wir wollen die menschen darin unterstützen, die immensen herausforderungen der bevorstehenden transformation und den wandel selbstbestimmt zu gestalten.",0.75726366
792,fdp,darüber hinaus wollen wir das bündnis strategisch weiterentwickeln und unterstützen den prozess zur entwicklung eines neuen strategischen konzepts.,"wir bringen uns aktiv in den prozess zur 145 entwicklung eines neuen strategischen konzepts ein, um die neuen herausforderungen der nato anzugehen.",0.75719583
793,fdp,das schließt auch vertragsänderungen ein.,voraussetzung dafür sind betriebsvereinbarungen.,0.75717866
794,fdp,diese müssen anschlie- ßend von den mitgliedstaaten und von den eu-institutionen angemessen umgesetzt werden.,dies gilt auch für personalvorschläge der bundesregierung bei internationalen organisationen und bei eu- institutionen.,0.75699687
795,fdp,"mobilität eine innovative, ökologische und bezahlbare mobilität ist angewiesen auf eine zukunftsweisende verkehrspolitik ohne ideologische scheuklappen.","die erschließungs- und qualitätsstandards für ein alltagstaugliches mobilitätsangebot als möglichst vollwertige alternative zum motorisierten individualverkehr wollen wir im jahr 2022 zwischen bund, ländern und kommunen definieren.",0.7569366
796,fdp,pauschale „catch and release“- verbote lehnen wir aus arten- und bestandsschutzgründen ab.,wir setzen uns für ein eu-weites verbot der haltung und zucht von pelztieren ein.,0.7567764
797,fdp,"darüber hinaus braucht deutschland eine politische gesamtstrategie, die die ziele und prioritäten unserer außen-, verteidigungs- und entwicklungspolitik festlegt.","dazu bedarf es einer gesamtstrategie auf nationaler und europäischer ebene aus prävention, deradikalisierung und effektiver gefahrenabwehr.",0.75668323
798,fdp,daher treten wir für eine einheitliche europäische regelung zur menschenrechtlichen sorgfaltspflicht in der lieferkette ein.,"für die ausgestaltung werden wir uns eng mit der europäischen kommission abstimmen, die erforderliche umweltprüfung durchführen und durch den zugang zum bundesverwaltungsgericht den rechtsschutz und die effektivität des umweltrechts sicherstellen.",0.75666255
799,fdp,damit sichern wir die zukunft.,präventive täterarbeit bauen wir aus.,0.75660527
800,fdp,bestehende förderungen sollen zusammengeführt werden.,wir legen entsprechende förderprogramme auf und bauen die beratungsarbeit der bundesfachstelle barrierefreiheit aus.,0.7566003
801,fdp,daher wollen wir sie neben der angewandten forschung weiter ausbauen.,forschung an zukunftstechnologien werden wir stärker als bislang in europäischen verbünden zusammenführen.,0.75652057
802,fdp,bestehende förderungen sollen zusammengeführt werden.,zusätzlich muss das mit dem betriebsrentenstärkungsgesetz bereits in der vorletzten legislaturperiode auf den weg gebrachte sozialpartnermodell nun umgesetzt werden.,0.7564521
803,fdp,denn die große mehrheit der polizistinnen und polizisten leistet eine hervorragende arbeit.,"die wertschätzung für unsere polizistinnen und polizisten drückt sich auch durch eine gute personal- und sachausstattung, den zustand der liegenschaften, den abbau von überstunden und die wiedereinführung der ruhegehaltsfähigkeit der polizeizulage aus.",0.7564279
804,fdp,wto reformieren – freihandel stärken wir freie demokraten wollen den bewährten rahmen der welthandelsorganisation (wto) weiterentwickeln.,"wir setzen uns für die stärkung des multilateralismus und für die weiterentwicklung der welthandelsorganisation wto ein, dazu gehört die erneuerung der regeln zu marktverzerrenden subventionen, die aufhebung der blockade bei dem streitbeilegungsmechanismus und eine ausrichtung am pariser klimavertrag sowie den globalen nachhaltigkeitszielen der vn.",0.75639355
805,fdp,"gerade die coronakrise hat gezeigt, dass der stete wandel der wirtschaft neue ideen und wege erfordert.","hinzu kommt die langanhaltende corona-pandemie, die teile der wirtschaft vor große herausforderungen stellt.",0.756366
806,fdp,easy tax – einfache steuererklärung wir freie demokraten wollen easy tax einführen: die vorausgefüllte steuererklärung mit einem umfassenden digitalen service für die steuerzahlerinnen und steuerzahler.,wir wollen das steuersystem für menschen und unternehmen einfacher machen.,0.7563613
807,fdp,darüber hinaus kann ein one-stop- shop die vernetzung und den austausch mit privaten und öffentlichen akteuren vorantreiben.,"wir schaffen die voraussetzungen für flächendeckende „one stop shops“, also anlaufstellen für gründungsberatung, -förderung und -anmeldung.",0.75632584
808,fdp,in der eu soll die bundesregierung auf einen europaweiten schutz von lsbti-rechten hinwirken.,"wir wollen, dass frontex auf grundlage der menschenrechte und des erteilten mandats zu einer echten eu-grenzschutzagentur weiterentwickelt wird.",0.7562758
809,fdp,wir setzen uns für die aufklärung solcher vorkommnisse und für schärfere mechanismen zur verhinderung von menschenrechtsverletzungen ein.,"insbesondere werden wir uns für frauen- und mädchenrechte sowie für den schutz und die aufnahme derer einsetzen, die durch eine frühere zusammenarbeit mit uns gefährdet sind.",0.7562269
810,fdp,"wenn einer staatlichen stelle sicherheitslücken bekannt werden, muss sie diese umgehend dem bundesamt für sicherheit in der informationstechnik (bsi) melden, das eine schließung der lücke durch den hersteller herbeiführt oder, wenn dies nicht gelingt, die lücke nach den allgemeinen grundsätzen der cybersicherheit koordiniert veröffentlicht.","wir verpflichten alle staatlichen stellen, ihnen bekannte sicherheitslücken beim bsi zu melden und sich regelmäßig einer externen überprüfung ihrer it-systeme zu unterziehen.",0.7561194
811,fdp,"wir brauchen land- und forstwirtschaft, die nachhaltig ist und flächen, die zusätzliche beiträge zum naturschutz leisten.",wir stärken den naturschutz in der gemeinschaftsaufgabe agrarstruktur und küstenschutz (gak) und erhöhen die mittel auch für die vertragsnaturschutzprogramme der länder.,0.75607693
812,fdp,"mittelfristig wollen wir – wie im telefonnetz – eine interoperabilität zwischen diensten verschiedener anbieter (zum beispiel sozialer netzwerke) erreichen und die anbieterinnen dazu verpflichten, die notwendigen schnittstellen bereitzuhalten.",wir bündeln kompetenzen und aufgaben für festnetz und mobilfunk.,0.75607497
813,fdp,"daher wollen wir alle planungsverfahren beschleunigen, indem wir verfahren straffen und doppeluntersuchungen abschaffen, die möglichkeiten der digitalisierung in allen bereichen der planung nutzen, die planungs- und genehmigungsbehörden gezielt mit ausreichend fachkräften ausstatten und eine frühzeitige und umfassende bürgerbeteiligung sicherstellen.","13 um verwaltungsverfahren zu beschleunigen, werden wir eine frühestmögliche und intensive öffentlichkeitsbeteiligung einführen.",0.7560165
814,fdp,diese müssen anschlie- ßend von den mitgliedstaaten und von den eu-institutionen angemessen umgesetzt werden.,wir unterstützen die eu-kommission bei der weiterentwicklung des rechtsstaatsberichts durch länderspezifische empfehlungen und wollen u. a. den prozess mit unabhängiger expertise weiter stärken.,0.75601643
815,fdp,im rahmen einer vn-reform setzen wir uns zudem für einen ständigen europäischen sitz im sicherheitsrat der vereinten nationen und den ausbau des konsenses über die schutzverantwortung („responsibility to protect“) ein.,"vor dem hintergrund der fortbestehenden bedrohung für die sicherheit deutschlands und europas nehmen wir die sorgen insbesondere unserer mittel- und osteuropäischen partnerstaaten ernst, bekennen uns zur aufrechterhaltung eines glaubwürdigen abschreckungspotenzials und wollen die dialoganstrengungen der allianz fortsetzen.",0.75600374
816,fdp,"die türkei ist und bleibt als nato-mitglied und als eng mit der eu vernetzter nachbar ein unverzichtbarer partner, weswegen wir uns dafür stark machen, die sicherheitspolitischen spannungen im bündnis abzubauen.",das transatlantische bündnis ist zentraler pfeiler und die nato unverzichtbarer teil unserer sicherheit.,0.7559205
817,fdp,"die digitalisierung von allgemeinbildenden, beruflichen und sonderpädagogischen schulen muss ganzheitlich gedacht werden – von der ausstattung bis zur nutzung.",erwachsenenbildung mit einem förderprogramm für volkshochschulen und andere gemeinnützige bildungseinrichtungen investieren wir in digitale infrastruktur.,0.75587213
818,fdp,die parlamentarische kontrolle soll verbessert und die rechte der parlamentsminderheit sollen gestärkt werden.,"wir stärken und bauen die kontrolle, insbesondere die parlamentarische, aller nachrichtendienstlichen tätigkeiten des bundes weiter aus.",0.7558402
819,fdp,auch die deutsche polizeiausbildung ist im internationalen vergleich besonders gut.,bundespolizeien unsere sicherheitsbehörden in deutschland leisten professionelle arbeit im kampf gegen kriminalität und für den schutz unserer demokratie.,0.75581425
820,fdp,"eine innovative, ökologische und bezahlbare mobilität ist angewiesen auf eine zukunftsweisende verkehrspolitik ohne ideologische scheuklappen.","güterverkehr wir unterstützen regionale güterverkehrskonzepte, fördern emissionsfreie stadtlogistik wie ladezonen und logistik-hubs.",0.7557711
821,fdp,dafür wollen wir die nötigen rahmenbedingungen schaffen.,wir bauen das hilfesystem entsprechend bedarfsgerecht aus.,0.75571936
822,fdp,modernisierung der bundeswehr – bessere ausrüstung wir freie demokraten wollen die einsatzbereitschaft der bundeswehr erhöhen und hierfür einen klaren modernisierungskurs einschlagen.,wir werden daher weitere maßnahmen zur steigerung der attraktivität des dienstes in der bundeswehr einführen und dabei auch den übergang der soldaten auf zeit in die wehrverwaltung erleichtern sowie in die freie wirtschaft verbessern.,0.7554829
823,fdp,bestehende förderungen sollen zusammengeführt werden.,zu ihrer durchführung und ausweitung legen wir ein förderprogramm auf.,0.7554425
824,fdp,"insgesamt braucht die branche mehr aufmerksamkeit, denn die seeschifffahrt ist für uns als exportnation von enormer strategischer bedeutung.",den schifffahrtsanteil im güterverkehr wollen wir steigern und dazu auch hinterlandanbindungen stärken.,0.75542545
825,fdp,"gemeinsam wollen wir uns so weltweit und insbesondere innerhalb der vereinten nationen und anderer internationaler organisationen für gemeinsame werte einsetzen und strategisch abstimmen, auch und gerade im neuen systemwettbewerb mit dem china xi jinpings.",auch in der außen- und sicherheitspolitik wollen wir die zusammenarbeit.,0.75541854
826,fdp,zudem müssen bestehende vereinbarungen anlassbezogen widerrufen werden können.,"92 um die ursachen drohender wohnungslosigkeit zu beseitigen, werden wir das mietrecht, insbesondere dort wo schonfristzahlungen dem weiterführen des mietverhältnisses entgegenstehen, evaluieren und entgegensteuern.",0.75540733
827,fdp,wir wollen das chemische recycling als gleichwertige möglichkeit des recyclings von verpackungen zulassen und somit die rechtliche diskriminierung dieser vielversprechenden technologie beenden.,"wir wollen das ökonomische und ökologische potenzial des recyclings umfassend nutzen, den ressourcenverbrauch senken und damit arbeitsplätze schaffen (produktdesign, recyclat, recycling).",0.7554052
828,fdp,daher setzen wir uns in diesen schlüsseltechnologien für offenere und innovationsfördernde rahmenbedingungen ein.,wir fördern digitale innovationen sowie unternehmerische und gesellschaftliche initiative und setzen auf offene standards und diversität.,0.7553616
829,fdp,ebenso wollen wir auch bestehende kostensteigernde regelungen kritisch überprüfen und gegebenenfalls anpassen.,hinsichtlich dieser fragen werden wir das betriebsrätemodernisierungsgesetz evaluieren.,0.7553532
830,fdp,netzneutralität und fairer wettbewerb im internet wir freie demokraten bekennen uns zur netzneutralität.,wir sichern die netzneutralität.,0.755352
831,fdp,"darum wollen wir von der bildung über eine bedarfsgerechte personalbemessung bis hin zu mehr karrierechancen dafür sorgen, dass der beruf wieder attraktiver wird.","fünftens müssen arbeitsbedingungen in den bereichen attraktiver werden, in denen bereits jetzt oder absehbar ein mangel an fachkräften herrscht.",0.7553241
832,fdp,dabei setzen wir auch auf verstärkte kooperationen mit außerschulischen initiativen.,"wir wollen eine neue kultur der zusammenarbeit etablieren, die auch aus der kraft der zivilgesellschaft heraus gespeist wird.",0.75529265
833,fdp,bis zu ihrer einführung fordern wir ein sicherheitsgesetz-moratorium.,"bis zur gesetzlichen neuregelung schaffen wir ein einjähriges moratorium für die bisherigen sanktionen unter das existenzminimum, das auch für kommunale jobcenter gelten muss.",0.75520563
834,fdp,innerhalb der eu geschlossene gleichgeschlechtliche ehen sollen mit allen rechten und pflichten anerkannt werden.,wir setzen uns in der eu und international für eine intersektionale gleichstellungspolitik ein.,0.755164
835,fdp,daher treten wir für eine einheitliche europäische regelung zur menschenrechtlichen sorgfaltspflicht in der lieferkette ein.,das europäische naturschutzrecht setzen wir eins-zu-eins um.,0.7550959
836,fdp,aufklärungs- und beratungsangebote wollen wir stärken.,dafür bauen wir die weiterbildungsverbünde aus und unterstützen den aufbau von weiterbildungsagenturen.,0.7550427
837,fdp,"als ergänzung zu den bereits bestehenden initiativen können die schulen in kooperation mit den kammern und hochschulen „aufstiegsscouts“ schaffen, die als ansprechpersonen für schülerinnen und schüler fungieren, die sich über die chancen und wege zu einer berufsausbildung oder zu einem studium informieren möchten.","wir stellen diesen schulen ein chancenbudget zur freien verfügung, um schule, unterricht und lernangebote weiterzuentwickeln und außerschulische 96 kooperationen zu fördern.",0.7550036
838,fdp,"ziel ist es, sowohl das große ökonomische als auch das ökologische potential zu heben.","unser ziel ist, den anteil regionaler und ökologischer erzeugnisse entsprechend unserer ausbauziele zu erhöhen.",0.7549728
839,fdp,ungleichbehandlungen wollen wir abbauen und zum beispiel die beiträge für selbstständige zur gesetzlichen krankenversicherung endlich an den tatsächlichen einnahmen orientieren.,"zu gunsten verstärkter prävention und gesundheitsförderung reduzieren wir die möglichkeiten der krankenkassen, beitragsmittel für werbemaßnahmen und werbegeschenke zu verwenden.",0.7549276
840,fdp,damit bekämpfen wir doping im sport effektiver als heute.,"dopingprävention fördern wir stärker, verbessern die internationale zusammenarbeit und arbeiten die dopingvergangenheit deutschlands mit forschungsprojekten auf.",0.75491357
841,fdp,das system der umlagefinanzierung wird wieder konsequent umgesetzt und so die nachhaltige finanzierung der sozialversicherungen gesichert., wir führen die nachhaltigkeitsberichterstattungen für die sozialversicherungen fort.,0.7548581
842,fdp,45 zukunftsfähige und starke europäische union . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,deutschlands verantwortung für europa und die welt ...............................................................,0.75482386
843,fdp,"keine totalüberwachung mittels online- durchsuchung und quellen-tkü wir freie demokraten lehnen die potentiell lückenlose digitale überwachung der menschen durch den einsatz von „staatstrojanern“, insbesondere zur nachrichtendienstlichen aufklärung, ab.",dazu gehören auch ein stopp der weitergabe von überwachungstechnologien an repressive regime sowie der schutz ziviler infrastruktur vor cyberangriffen.,0.7547675
844,fdp,wir wollen außerdem die nichtkommerzielle leihmutterschaft ermöglichen und fordern hierfür einen klaren rechtsrahmen.,"wir wollen im unterhaltsrecht die betreuungsanteile vor und nach der scheidung besser berücksichtigen, ohne das existenzminimum des kindes zu gefährden.",0.7547592
845,fdp,"mobilität eine innovative, ökologische und bezahlbare mobilität ist angewiesen auf eine zukunftsweisende verkehrspolitik ohne ideologische scheuklappen.","öffentlicher verkehr und neue mobilitätsangebote wir wollen länder und kommunen in die lage versetzen, attraktivität und kapazitäten des öpnv zu verbessern.",0.75473267
846,fdp,im rahmen einer vn-reform setzen wir uns zudem für einen ständigen europäischen sitz im sicherheitsrat der vereinten nationen und den ausbau des konsenses über die schutzverantwortung („responsibility to protect“) ein.,"wir werden im einklang mit europäischem recht den staatlichen einfluss auf kritische infrastruktur sicherstellen, wenn sicherheitsinteressen berührt sind.",0.7547224
847,fdp,"wir freie demokraten stehen deshalb für eine aktive und offene debattenkultur, die meinungsvielfalt fördert und schützt.","wir entwickeln das humboldt forum als ort der demokratischen, weltoffenen debatte.",0.7547191
848,fdp,daher treten wir für eine einheitliche europäische regelung zur menschenrechtlichen sorgfaltspflicht in der lieferkette ein.,"wir wollen eu-rechtsformen für vereine und stiftungen, die äquivalenzprüfungen für 133 gemeinnützigkeit aus anderen mitgliedstaaten vereinfachen und so grenzüberschreitende spenden und kooperationen eugh-konform erleichtern.",0.7546976
849,fdp,"hierzu wollen wir teilqualifizierungen ausbauen, die ausbildungsdauer flexibilisieren, digitale ausbildungsangebote fördern und verstärkt teilzeitausbildungen ermöglichen.","wir fördern vollqualifizierende ausbildungen im rahmen der beruflichen weiterbildung unabhängig von dauer und grundkompetenzen, auch im umgang mit digitalen informations- und kommunikationstechnologien.",0.75455827
850,fdp,wir wollen zahlungsschwachen wohnungssuchenden den zugang zum freien wohnungsmarkt mithilfe des wohngeldes erleichtern.,wir wollen verbesserungen für erwerbsminderungsrentnerinnen und -rentner im bestand umsetzen.,0.75440097
851,fdp,wir freie demokraten wollen die lebensqualität in städtischen und ländlichen räumen verbessern.,gute lebensverhältnisse in stadt und land wir wollen für gute lebensbedingungen in stadt und land sorgen.,0.754387
852,fdp,"die parlamentarische kontrolle und datenschutzaufsicht muss auch in den kooperationsplattformen der sicherheitsbehörden sichergestellt sein, insbesondere im gemeinsamen terrorabwehrzentrum (gtaz) und im gemeinsamen extremismus- und terrorismusabwehrzentrum (getz).","wir schaffen für die zentrale stelle für informationstechnik im sicherheitsbereich (zitis) und in enger abstimmung mit den ländern für die gemeinsamen zentren (gtaz etc.) gesetzliche grundlagen, legen 110 die verantwortlichkeiten klarer fest und garantieren die lückenlose kontrolle durch parlamente und datenschutzaufsichtsbehörden.",0.75436515
853,fdp,"wir bekennen uns außerdem nachdrücklich zum „multi-use-ansatz“ bei windparks auf dem meer, damit fischerei zukünftig auch in „offshore-windparks“ möglich ist.","das bundesamt für seeschifffahrt und hydrografie werden wir stärken, um eine einheitliche flaggenstaatsverwaltung einzuführen und um den offshore-windenergieausbau zu beschleunigen.",0.754276
854,fdp,zivilgesellschaftliche organisationen wollen wir jedoch direkt unterstützen.,wir stärken hier die arbeit der zivilgesellschaftlichen akteure (z.,0.7542002
855,fdp,ziel muss ein über den europäischen emissionshandel (eu-ets) hinaus international abgestimmtes vorgehen beim klimaschutz mit einheitlichem co2-preis für alle sein.,die einhaltung der klimaziele werden wir anhand einer sektorübergreifenden und analog zum pariser klimaabkommen mehrjährigen gesamtrechnung überprüfen.,0.75414646
856,fdp,diese müssen anschlie- ßend von den mitgliedstaaten und von den eu-institutionen angemessen umgesetzt werden.,"sollte die entwicklung der nächsten jahre anders verlaufen und die europäische union sich nicht auf einen ets-mindestpreis verständigt haben, werden wir über die entsprechenden nationalen maßnahmen entscheiden (wie z.",0.7541447
857,fdp,3 grundgesetz um den schutz vor diskriminierung aufgrund der sexuellen identität und ein vollständiges verbot sogenannter „konversionstherapien“.,121 wir wollen den gleichbehandlungsartikel des grundgesetzes (artikel 3 absatz 3 gg) um ein verbot der diskriminierung wegen sexueller identität ergänzen und den begriff „rasse“ im grundgesetz ersetzen.,0.75413406
858,fdp,"damit verhindern wir, dass emissionsintensive industrien ins ausland abwandern, und geben anderen ländern einen direkten anreiz, bei der co2-bepreisung nachzuziehen.",beim import von wasserstoff werden wir die klimapolitischen auswirkungen beachten und faire wettbewerbsbedingungen für unsere wirtschaft sicherstellen.,0.75386995
859,fdp,denn die unterstützung für den ausbau erneuerbarer energien sowie netze ist grundsätzlich hoch und auch immer mehr unternehmen möchten auf erneuerbare energien setzen.,erste priorität hat die einheimische erzeugung auf basis erneuerbarer energien.,0.7537943
860,fdp,innerhalb der eu geschlossene gleichgeschlechtliche ehen sollen mit allen rechten und pflichten anerkannt werden.,wir unterstützen den beitritt der eu zur europäischen menschenrechtskonvention.,0.7537851
861,fdp,"bei der verschlüsselung von daten und des netzverkehrs geht es um den schutz des eigentums, der privatsphäre und der vertraulichkeit der kommunikation.",auch der staat muss verpflichtend die möglichkeit echter verschlüsselter kommunikation anbieten.,0.7537732
862,fdp,ebenso sollte er für die überwachung der haushalts- und wirtschaftspolitik der programmländer zuständig sein.,"wir überprüfen die haushaltsstruktur zu den sonderinitiativen, bmz 2030 und die länderliste.",0.7536588
863,fdp,so schaffen wir anreize für investitionen in klimafreundliche technologien.,wir werden auch die kleinen und mittleren unternehmen bei ihrem weg zur klimatechnologischen transformation begleiten und fördern.,0.75344324
864,fdp,"wir brauchen forschung, wissenschaft, innovationen und die vielen klugen ideen der menschen.",der dazu benötigte kulturwandel wird durch science-entrepreneurship-initiativen begleitet.,0.7534375
865,fdp,"darum wollen wir von der bildung über eine bedarfsgerechte personalbemessung bis hin zu mehr karrierechancen dafür sorgen, dass der beruf wieder attraktiver wird.","darüber hinaus entwickeln wir die teilhabeangebote auch für diejenigen weiter, deren ziel nicht oder nicht nur die teilhabe am arbeitsleben ist.",0.75342375
866,fdp,"internationale maßnahmen anrechnen – klimaschutz effizient umsetzen wir freie demokraten wollen die möglichkeit nutzen, projekte in anderen staaten zu finanzieren und die entsprechenden treibhausgasreduktionen auf die eigenen ziele anzurechnen.","wir werden die staatliche förderung und absicherung von projekten deutscher unternehmen im ausland über die kfw nutzen, um partnerstaaten dabei zu unterstützen, ihre klimaziele zu erreichen.",0.75342304
867,fdp,"wir unterstützen daher auch alle innovationen in züchtung, pflanzenschutz, digitalisierung und anderen bereichen, die durch ihre nutzung dazu beitragen, die belastung der umwelt zu minimieren.",wir unterstützen die entwicklung von kriterien für einen ökologischen fußabdruck.,0.75332916
868,fdp,"das steuerrecht muss dazu einen beitrag leisten, indem es die rahmenbedingungen für die bereitstellung von wagniskapital verbessert.",für die zielgerichtete unterstützung bauen wir investitionshemmnisse bei den förderprogrammen ab und passen die bedingungen zur inanspruchnahme insbesondere für steuerschwache oder überschuldete kommunen gezielt an.,0.75321275
869,fdp,dabei setzen wir auch auf verstärkte kooperationen mit außerschulischen initiativen.,wir wollen ehrenamtliche beteiligungen und die transparenz im kammerwesen im dialog mit den sozialpartnern stärken.,0.75314015
870,fdp,deutschland muss seine vorreiterrolle international ausbauen.,"aufbauend auf der lateinamerika- und karibik-initiative wird deutschland sein engagement ausweiten, um die gesellschaften der region in ihrem kampf gegen populismus, autoritäre bewegungen und diktaturen zu stärken.",0.7531064
871,fdp,wir setzen uns für die aufklärung solcher vorkommnisse und für schärfere mechanismen zur verhinderung von menschenrechtsverletzungen ein.,deshalb engagieren wir uns für die arbeit des internationalen strafgerichtshofes und der ad-hoc-tribunale der vn und werden uns für die weiterentwicklung des humanitären völkerrechts einsetzen.,0.7530632
872,fdp,für die vorstandsebene sollten sich unternehmen ebenfalls zu einer verbesserung des frauenanteils verpflichten.,"aufgabe dieser koalition ist es, die dafür nötigen neuerungen politisch anzuschieben und orientierung zu geben.",0.7529888
